time,open,high,low,close,tick_volume,spread,real_volume,date
1280102400,0.92976,0.93227,0.92621,0.93038,47548.0,50,0.0,2010-07-26
1280188800,0.93043,0.9354,0.92848,0.93217,46539.0,50,0.0,2010-07-27
1280275200,0.93226,0.93436,0.92067,0.92476,52675.0,50,0.0,2010-07-28
1280361600,0.9247,0.9342,0.92461,0.93263,51735.0,50,0.0,2010-07-29
1280448000,0.93254,0.93415,0.92706,0.93062,50776.0,50,0.0,2010-07-30
1280707200,0.93208,0.93488,0.9305,0.93393,43503.0,50,0.0,2010-08-02
1280793600,0.93395,0.93605,0.93008,0.93416,46890.0,50,0.0,2010-08-03
1280880000,0.93416,0.93757,0.93126,0.93256,45250.0,50,0.0,2010-08-04
1280966400,0.93257,0.93327,0.92428,0.93076,45395.0,50,0.0,2010-08-05
1281052800,0.93075,0.94599,0.92875,0.94282,45482.0,50,0.0,2010-08-06
1281312000,0.9435,0.946,0.93967,0.94085,38472.0,50,0.0,2010-08-09
1281398400,0.94068,0.94441,0.93824,0.9401,50864.0,50,0.0,2010-08-10
1281484800,0.94005,0.94289,0.93426,0.93571,56834.0,50,0.0,2010-08-11
1281571200,0.93574,0.94154,0.93291,0.93383,55515.0,50,0.0,2010-08-12
1281657600,0.93393,0.93891,0.92809,0.92969,48709.0,50,0.0,2010-08-13
1281916800,0.9297,0.93888,0.92466,0.93527,48181.0,50,0.0,2010-08-16
1282003200,0.93521,0.93968,0.93195,0.93484,50572.0,50,0.0,2010-08-17
1282089600,0.93483,0.93522,0.92322,0.92375,49683.0,50,0.0,2010-08-18
1282176000,0.92367,0.93063,0.92088,0.9268,59048.0,50,0.0,2010-08-19
1282262400,0.92685,0.93637,0.92402,0.93575,51941.0,50,0.0,2010-08-20
1282521600,0.9298,0.94062,0.9298,0.93628,46810.0,50,0.0,2010-08-23
1282608000,0.93634,0.94008,0.93433,0.93576,57880.0,50,0.0,2010-08-24
1282694400,0.93571,0.94113,0.93304,0.93749,58954.0,50,0.0,2010-08-25
1282780800,0.93754,0.93951,0.93519,0.93672,54568.0,50,0.0,2010-08-26
1282867200,0.93665,0.94942,0.93543,0.94406,51547.0,50,0.0,2010-08-27
1283126400,0.9457,0.94687,0.9407,0.94438,44125.0,50,0.0,2010-08-30
1283212800,0.94445,0.95112,0.94098,0.9497,59717.0,50,0.0,2010-08-31
1283299200,0.94967,0.96021,0.94871,0.95677,45648.0,50,0.0,2010-09-01
1283385600,0.95675,0.96081,0.95272,0.95856,37498.0,50,0.0,2010-09-02
1283472000,0.95855,0.96199,0.95095,0.95174,34408.0,50,0.0,2010-09-03
1283731200,0.9515,0.95252,0.9476,0.94875,23501.0,50,0.0,2010-09-06
1283817600,0.94875,0.95559,0.94574,0.95348,38166.0,50,0.0,2010-09-07
1283904000,0.95355,0.96118,0.9501,0.95209,53537.0,50,0.0,2010-09-08
1283990400,0.95215,0.95895,0.95049,0.95437,51205.0,50,0.0,2010-09-09
1284076800,0.95436,0.96048,0.9515,0.96028,47307.0,50,0.0,2010-09-10
1284336000,0.9601,0.96254,0.95846,0.96062,46569.0,50,0.0,2010-09-13
1284422400,0.96068,0.96992,0.95758,0.96483,54758.0,50,0.0,2010-09-14
1284508800,0.96485,0.96691,0.95953,0.9615,56074.0,50,0.0,2010-09-15
1284595200,0.96141,0.96446,0.9592,0.96032,51093.0,50,0.0,2010-09-16
1284681600,0.96029,0.96988,0.9598,0.96648,51338.0,50,0.0,2010-09-17
1284940800,0.9692,0.97694,0.9668,0.97403,39363.0,50,0.0,2010-09-20
1285027200,0.97403,0.98052,0.97166,0.97774,56517.0,50,0.0,2010-09-21
1285113600,0.97775,0.98682,0.9744,0.9834,45307.0,50,0.0,2010-09-22
1285200000,0.98339,0.98545,0.97969,0.98126,58979.0,50,0.0,2010-09-23
1285286400,0.98123,0.98533,0.97926,0.98183,54199.0,50,0.0,2010-09-24
1285545600,0.9835,0.98979,0.98098,0.98904,49339.0,50,0.0,2010-09-27
1285632000,0.98903,0.99896,0.98725,0.99629,55187.0,50,0.0,2010-09-28
1285718400,0.99621,1.00186,0.99347,0.99949,47784.0,50,0.0,2010-09-29
1285804800,0.99958,1.00199,0.99079,0.99429,63137.0,50,0.0,2010-09-30
1285891200,0.99434,0.99932,0.98987,0.99136,56312.0,50,0.0,2010-10-01
1286150400,0.9909,0.99146,0.9868,0.98949,54641.0,50,0.0,2010-10-04
1286236800,0.98946,0.98999,0.97873,0.98577,62413.0,50,0.0,2010-10-05
1286323200,0.98583,0.98995,0.98385,0.98727,58059.0,50,0.0,2010-10-06
1286409600,0.98731,1.00137,0.98648,0.99855,59418.0,50,0.0,2010-10-07
1286496000,0.99855,1.00068,0.9889,0.9953,55893.0,50,0.0,2010-10-08
1286755200,1.0001,1.0006,0.9936,0.99648,26514.0,50,0.0,2010-10-11
1286841600,0.99653,0.99727,0.99234,0.99567,60147.0,50,0.0,2010-10-12
1286928000,0.99561,0.99788,0.98894,0.99286,52555.0,50,0.0,2010-10-13
1287014400,0.99288,0.99966,0.99264,0.99728,53234.0,50,0.0,2010-10-14
1287100800,0.99733,1.00307,0.99444,1.00042,55085.0,50,0.0,2010-10-15
1287360000,1.00153,1.00813,0.99987,1.00667,61610.0,50,0.0,2010-10-18
1287446400,1.00662,1.01163,0.99747,1.00248,71902.0,50,0.0,2010-10-19
1287532800,1.0025,1.01137,0.99961,1.00729,68090.0,50,0.0,2010-10-20
1287619200,1.00723,1.00972,1.00266,1.00434,65946.0,50,0.0,2010-10-21
1287705600,1.00428,1.00907,1.0031,1.00759,59135.0,50,0.0,2010-10-22
1287964800,1.00964,1.01532,1.00832,1.00938,67130.0,25,186000000.0,2010-10-25
1288051200,1.00942,1.01105,1.00643,1.00914,69922.0,20,226500000.0,2010-10-26
1288137600,1.00909,1.0097,0.99659,0.99922,77389.0,24,96000000.0,2010-10-27
1288224000,0.99916,1.00591,0.99489,0.99801,71253.0,27,168000000.0,2010-10-28
1288310400,0.99801,1.00407,0.99079,1.00118,69428.0,17,1981000000.0,2010-10-29
1288569600,1.00304,1.0093,0.99964,1.00094,67749.0,29,6000000.0,2010-11-01
1288656000,1.00092,1.01202,0.99882,1.00775,73787.0,50,0.0,2010-11-02
1288742400,1.00773,1.0177,1.00309,1.01255,78440.0,16,188000000.0,2010-11-03
1288828800,1.01251,1.01979,1.01039,1.01738,78714.0,19,117000000.0,2010-11-04
1288915200,1.01742,1.02041,1.01377,1.01547,71499.0,50,0.0,2010-11-05
1289174400,1.01452,1.01695,1.01142,1.01506,75357.0,37,3000000.0,2010-11-08
1289260800,1.01506,1.01784,1.00884,1.01013,87593.0,50,0.0,2010-11-09
1289347200,1.01016,1.01238,1.00207,1.0039,85820.0,13,1776000000.0,2010-11-10
1289433600,1.00388,1.00826,0.99941,1.00022,75300.0,50,0.0,2010-11-11
1289520000,1.0003,1.00385,0.99145,0.99629,93862.0,12,165000000.0,2010-11-12
1289779200,0.99858,0.99959,0.99237,0.99429,77555.0,50,0.0,2010-11-15
1289865600,0.99428,1.0,0.99022,0.99707,90516.0,26,263000000.0,2010-11-16
1289952000,0.99711,1.00429,0.99537,1.00398,80651.0,29,89000000.0,2010-11-17
1290038400,1.00391,1.01036,1.0014,1.00868,75641.0,50,0.0,2010-11-18
1290124800,1.00864,1.00889,1.00042,1.00272,67701.0,26,158500000.0,2010-11-19
1290384000,1.00453,1.00847,1.00259,1.00615,75599.0,50,0.0,2010-11-22
1290470400,1.00576,1.0066,0.99385,0.99533,88913.0,22,355000000.0,2010-11-23
1290556800,0.99538,0.9996,0.99045,0.99244,85646.0,50,0.0,2010-11-24
1290643200,0.9925,0.99447,0.98533,0.98768,54281.0,25,51000000.0,2010-11-25
1290729600,0.98772,0.98798,0.98034,0.98462,72699.0,29,245000000.0,2010-11-26
1290988800,0.98517,0.98641,0.97903,0.98005,79200.0,31,525000000.0,2010-11-29
1291075200,0.98006,0.98684,0.97738,0.98293,90567.0,28,189500000.0,2010-11-30
1291161600,0.98295,0.9858,0.97917,0.98418,89929.0,50,0.0,2010-12-01
1291248000,0.98417,0.98423,0.97355,0.97959,87138.0,34,178000000.0,2010-12-02
1291334400,0.97962,0.99714,0.97782,0.99655,75069.0,50,0.0,2010-12-03
1291593600,0.99514,0.99585,0.9912,0.99465,68921.0,36,49000000.0,2010-12-06
1291680000,0.99469,0.99913,0.99311,0.99391,83180.0,40,335000000.0,2010-12-07
1291766400,0.99387,0.99511,0.9859,0.99022,78634.0,36,82000000.0,2010-12-08
1291852800,0.99021,0.9971,0.98828,0.99409,72924.0,35,161000000.0,2010-12-09
1291939200,0.99412,0.99841,0.99299,0.99402,59118.0,28,152500000.0,2010-12-10
1292198400,0.99331,1.00488,0.99267,1.0024,63620.0,26,58000000.0,2010-12-13
1292284800,1.00236,1.00766,1.00177,1.00353,70855.0,32,214000000.0,2010-12-14
1292371200,1.00356,1.00375,0.98766,0.99085,77211.0,22,480000000.0,2010-12-15
1292457600,0.99087,0.99615,0.98922,0.99513,69216.0,19,879000000.0,2010-12-16
1292544000,0.99564,1.0027,0.99309,1.00157,66474.0,34,123000000.0,2010-12-17
1292803200,0.99938,1.01268,0.99879,1.01067,67569.0,42,129000000.0,2010-12-20
1292889600,1.01059,1.01728,1.00938,1.01441,64261.0,30,294000000.0,2010-12-21
1292976000,1.01438,1.01651,1.01044,1.01255,63109.0,30,94000000.0,2010-12-22
1293062400,1.0127,1.01953,1.01108,1.01208,56869.0,34,292000000.0,2010-12-23
1293148800,1.01216,1.01557,1.00892,1.01249,26042.0,42,202000000.0,2010-12-24
1293408000,1.01015,1.01271,1.00874,1.01067,42601.0,34,243000000.0,2010-12-27
1293494400,1.01107,1.01508,1.00836,1.0106,51656.0,32,570000000.0,2010-12-28
1293580800,1.01063,1.01858,1.00979,1.01745,48974.0,30,1533000000.0,2010-12-29
1293667200,1.01741,1.01988,1.01139,1.01641,49909.0,24,309000000.0,2010-12-30
1293753600,1.0164,1.02224,1.01393,1.02056,39856.0,34,1364850000.0,2010-12-31
1294012800,1.01547,1.01549,1.00772,1.0086,49762.0,43,234500000.0,2011-01-03
1294099200,1.00855,1.00901,0.99977,1.00353,68611.0,23,497500000.0,2011-01-04
1294185600,1.00355,1.00512,0.99238,0.99562,72769.0,30,287000000.0,2011-01-05
1294272000,0.99565,0.99694,0.98972,0.9909,63145.0,24,1584500000.0,2011-01-06
1294358400,0.99082,0.99217,0.98309,0.98882,71154.0,30,222500000.0,2011-01-07
1294617600,0.98744,0.99008,0.98405,0.98642,69888.0,30,375500000.0,2011-01-10
1294704000,0.98649,0.9873,0.97032,0.97151,70981.0,50,0.0,2011-01-11
1294790400,0.97161,0.98442,0.97014,0.98172,69737.0,27,347500000.0,2011-01-12
1294876800,0.98176,0.99111,0.97868,0.98784,65387.0,21,266000000.0,2011-01-13
1294963200,0.98778,0.99064,0.97803,0.97933,67738.0,29,226000000.0,2011-01-14
1295222400,0.97795,0.98476,0.97478,0.98029,53711.0,26,276000000.0,2011-01-17
1295308800,0.98025,0.99096,0.97689,0.98997,77797.0,50,0.0,2011-01-18
1295395200,0.98996,0.99931,0.9882,0.99305,80814.0,20,172000000.0,2011-01-19
1295481600,0.99303,0.99481,0.98288,0.98362,90033.0,21,37000000.0,2011-01-20
1295568000,0.98359,0.98662,0.98075,0.98259,78034.0,50,0.0,2011-01-21
1295827200,0.98218,0.99426,0.98012,0.99041,64567.0,50,0.0,2011-01-24
1295913600,0.99037,0.99443,0.9859,0.99287,80041.0,27,111000000.0,2011-01-25
1296000000,0.99289,0.99543,0.98928,0.99316,74211.0,18,82000000.0,2011-01-26
1296086400,0.99315,0.9946,0.98387,0.9859,80430.0,13,205500000.0,2011-01-27
1296172800,0.98593,0.99507,0.98407,0.99489,77349.0,16,209000000.0,2011-01-28
1296432000,0.98986,1.00193,0.98874,0.99686,80192.0,27,53000000.0,2011-01-31
1296518400,0.9969,1.00553,0.99526,1.00055,83195.0,50,0.0,2011-02-01
1296604800,1.00054,1.00294,0.99357,0.9975,70689.0,26,273500000.0,2011-02-02
1296691200,0.99783,1.00666,0.99674,1.00596,71161.0,26,145000000.0,2011-02-03
1296777600,1.00581,1.00936,0.99986,1.00059,50995.0,24,351000000.0,2011-02-04
1297036800,1.00026,1.0044,0.99833,1.0036,45623.0,23,353500000.0,2011-02-07
1297123200,1.00378,1.01236,1.00151,1.00888,45552.0,24,266500000.0,2011-02-08
1297209600,1.00907,1.00989,1.00291,1.00466,46854.0,26,131000000.0,2011-02-09
1297296000,1.00466,1.00687,0.99616,0.99636,62552.0,21,249000000.0,2011-02-10
1297382400,0.99638,0.99793,0.98808,0.9893,44256.0,25,262000000.0,2011-02-11
